ID,시설명,실패사유,작업구분
23893413,"서울 금천구 아카시아병원장례식장",검색 안됨,명칭/주소/전화 동기화
23965618,"제주특별자치도 제주시 우도장례식장",검색 안됨,명칭/주소/전화 동기화
23971883,"제주특별자치도 서귀포시 표선복합문화센터 장례식장",검색 안됨,명칭/주소/전화 동기화
23972280,"제주특별자치도 서귀포시 공동장례식장",검색 안됨,명칭/주소/전화 동기화
24446137,"충남 홍성군 유명추모공원 홍성본점",검색 안됨,명칭/주소/전화 동기화
24976497,"충청남도 아산시 아산유리요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
25083496,"전북특별자치도 김제시 가족사랑장례식장",검색 안됨,명칭/주소/전화 동기화
25083732,"경북 경주시 영호공원봉안당",검색 안됨,명칭/주소/전화 동기화
25084118,"강원특별자치도 인제군 인제종합장묘센터 봉안당",검색 안됨,명칭/주소/전화 동기화
25084136,"강원특별자치도 횡성군 횡성군공설추모공원 추모관",검색 안됨,명칭/주소/전화 동기화
25485582,"부산광역시 동래구 (주)장례식장아시아드",검색 안됨,명칭/주소/전화 동기화
25620554,"창원시립마산봉안당",유사도 낮음,명칭/주소/전화 동기화
25733623,"쌍룡사 납골당",유사도 낮음,명칭/주소/전화 동기화
25733632,"경북 성주군 성주남양공원 봉안당",검색 안됨,명칭/주소/전화 동기화
25733638,"경북 칠곡군 대구시립공원묘지 납골당",검색 안됨,명칭/주소/전화 동기화
25733645,"경북 영천시 영천만불지장회 사설납골당",검색 안됨,명칭/주소/전화 동기화
25733654,"경기 이천시 용학사 납골당",검색 안됨,명칭/주소/전화 동기화
25733661,"강원특별자치도 춘천시 경춘공원묘원 합동봉안당",검색 안됨,명칭/주소/전화 동기화
25733663,"충남 금산군 만인추모관",검색 안됨,명칭/주소/전화 동기화
25733665,"충남 서산시 서산시희망공원 봉안당",검색 안됨,명칭/주소/전화 동기화
25733675,"부산 금정구 부산영락공원 무연고자 납골당",검색 안됨,명칭/주소/전화 동기화
26042652,"경남 통영시 경상남도립통영노인전문병원 장례식장",검색 안됨,명칭/주소/전화 동기화
26349271,"경기 용인시 봉안천국",검색 안됨,명칭/주소/전화 동기화
26423294,"경기 포천시 포천영북농협장례식장",검색 안됨,명칭/주소/전화 동기화
26578373,"경북 청도군 매운이정희선생추모공원",검색 안됨,명칭/주소/전화 동기화
26602828,"추모공원휴",유사도 낮음,명칭/주소/전화 동기화
26886598,"경기 양주시 일영수목장",검색 안됨,명칭/주소/전화 동기화
26915303,"경기 평택시 이편안요양병원 장례문화원",검색 안됨,명칭/주소/전화 동기화
27096681,"서울 강동구 천주교명일동성당장례식장",검색 안됨,명칭/주소/전화 동기화
27115022,"전라남도 화순군 학천사추모관",검색 안됨,명칭/주소/전화 동기화
27126806,"국제성모병원 장례식장",유사도 낮음,명칭/주소/전화 동기화
27356689,"경상남도 밀양시 여여정사 수목장",검색 안됨,명칭/주소/전화 동기화
27453923,"경기 용인시 수도권추모공원 용인수목장",검색 안됨,명칭/주소/전화 동기화
27606820,"인천 연수구 연수성당 장례식장",검색 안됨,명칭/주소/전화 동기화
65026725,"충남 아산시 덕수이씨 정의공파종중 납골묘",검색 안됨,명칭/주소/전화 동기화
72060193,"경기도 안성시 안성제일교회 수목장",검색 안됨,명칭/주소/전화 동기화
100429924,"대구 동구 대륜사 납골당",검색 안됨,명칭/주소/전화 동기화
108214612,"용미리납골당",유사도 낮음,명칭/주소/전화 동기화
130291220,"경상남도 진주시 진주제일교회 수목장",검색 안됨,명칭/주소/전화 동기화
139730332,"경기도 이천시 동천교회 납골묘",검색 안됨,명칭/주소/전화 동기화
141045382,"전라남도 순천시 베다니수목장",검색 안됨,명칭/주소/전화 동기화
160024798,"경남 김해시 대법륜사봉안당",검색 안됨,명칭/주소/전화 동기화
163715858,"거창한국병원장례식장",유사도 낮음,명칭/주소/전화 동기화
195666545,"울산 북구 울산국화원장례식장 북울산지점",검색 안됨,명칭/주소/전화 동기화
228592605,"경남 거창군 거창사건추모공원 위령탑",검색 안됨,명칭/주소/전화 동기화
408479895,"경기 안성시 서흥김씨 납골당",검색 안됨,명칭/주소/전화 동기화
