ID,Name,Type,Address,NormalizedName,Note
"2124823490","일산공감수목장","natural","경기 고양시 일산동구 지영로194번길 132","일산공감수목장","No exact match in 2023 data"
"26886598","일영수목장","natural","경기 양주시 장흥면 호국로 156","일영수목장","No exact match in 2023 data"
"223357101","남산추모공원","park","경북 경주시 내남면 내외로 1130-16","남산추모공원","No exact match in 2023 data"
"14608319","BHS동래한서요양병원 장례식장","funeral","부산 금정구 중앙대로 1721","BHS동래한서요양병원","No exact match in 2023 data"
"8635458","가톨릭대학교 성빈센트병원 장례식장","funeral","경기 수원시 팔달구 중부대로 93","가톨릭대학교성빈센트병원","No exact match in 2023 data"
"154077586","남양주시 원병원장례식장","funeral","경기 남양주시 화도읍 경춘로 1943-16","남양주시원병원","No exact match in 2023 data"
"12216118","한림대학교 한강성심병원 장례식장","funeral","서울 영등포구 국회대로56길 18","한림대학교한강성심병원","No exact match in 2023 data"
"21538652","대림요양병원 장례식장","funeral","제주특별자치도 제주시 한림읍 한수풀로 60","대림요양병원","No exact match in 2023 data"
"17938982","청주시목련공원묘지 목련원","park","충북 청주시 상당구 목련로 731","청주시목련공원묘지목련원","No exact match in 2023 data"
"8061028","쉴낙원 일산장례식장","funeral","경기 고양시 일산동구 백마로 62","쉴낙원일산","No exact match in 2023 data"
"14650796","고흥종합병원 장례식장","funeral","전남 고흥군 고흥읍 고흥로 1935","고흥종합병원","No exact match in 2023 data"
"24451182","청송농협 장례식장","funeral","경북 청송군 청송읍 중앙로 240","청송농협","No exact match in 2023 data"
"1138433236","제주4.3 성산읍 희생자 추모공원","park","제주특별자치도 서귀포시 성산읍 고성리 224-1","제주4.3성산읍희생자추모공원","No exact match in 2023 data"
"25083955","삼척시추모공원 1단지","park","강원특별자치도 삼척시 강원남부로 4541","삼척시추모공원1단지","No exact match in 2023 data"
"11","인천 해양장 (바다장)","sea","인천광역시 중구 연안부두로 36","인천해양장(바다장)","No exact match in 2023 data"
"12","부산 연안 해양장","sea","부산광역시 해운대구 달맞이길 62","부산연안해양장","No exact match in 2023 data"
"22676989","대구연세요양병원 장례식장","funeral","대구 서구 북비산로 156","대구연세요양병원","No exact match in 2023 data"
"14650794","좋은삼선병원 장례식장","funeral","부산 사상구 가야대로 326","좋은삼선병원","No exact match in 2023 data"
"10866033","하나병원 장례식장","funeral","부산 사하구 다대로 311","하나병원","No exact match in 2023 data"
"2139105112","에이치서비스 마린바다장","sea","부산 해운대구 해운대해변로 84","에이치서비스마린바다장","No exact match in 2023 data"
"13","서라벌공원묘원 (불교)","park","경상북도 경주시 외동읍 서라벌로 123","서라벌공원묘원(불교)","No exact match in 2023 data"
"14650782","가천대길병원 장례식장","funeral","인천 남동구 인주대로653번길 56","가천대길병원","No exact match in 2023 data"
"4","용인 평온의 숲","natural","경기도 용인시 처인구 이동읍 평온의숲로 77","용인평온의숲","No exact match in 2023 data"
"72060193","안성제일교회 수목장","natural","경기도 안성시 삼죽면 율곡리 산108-12","안성제일교회수목장","No exact match in 2023 data"
"27182493","서울시립용미리제1공원묘지 왕릉벽식추모의집","park","경기 파주시 광탄면 명봉산로262번길 290","서울시립용미리제1공원묘지왕릉벽식추모의집","No exact match in 2023 data"
"26822081","고신대학교복음병원","funeral","부산 서구 감천로 262","고신대학교복음","No exact match in 2023 data"
"2006387861","영주국화원장례식장","funeral","경북 영주시 신재로 167","영주국화원","No exact match in 2023 data"
"1184011668","여수 여천장례식장","funeral","전남 여수시 좌수영로 749","여수여천","No exact match in 2023 data"
"18383880","한림대학교 동탄성심병원 장례식장","funeral","경기 화성시 석우동 40","한림대학교동탄성심병원","No exact match in 2023 data"
"9155168","1004반려동물장례식장","pet","전남 순천시 서면 순천로 260-1","1004반려동물","No exact match in 2023 data"
